board,decision,Input
XX  OO X ,3,"[1, 1, 0, 0, 2, 2, 0, 1, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OXXOXO  ,9,"[0, 2, 1, 1, 2, 1, 2, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OO    XX,1,"[0, 2, 2, 0, 0, 0, 0, 1, 1]"
   XO    ,1,"[0, 0, 0, 1, 2, 0, 0, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OO  XX X ,4,"[2, 2, 0, 0, 1, 1, 0, 1, 0]"
 OX      ,9,"[0, 2, 1, 0, 0, 0, 0, 0, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
    X   O,4,"[0, 0, 0, 0, 1, 0, 0, 0, 2]"
X  X O   ,7,"[1, 0, 0, 1, 0, 2, 0, 0, 0]"
X   X  O ,7,"[1, 0, 0, 0, 1, 0, 0, 2, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOX  OX  ,9,"[1, 2, 1, 0, 0, 2, 1, 0, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   XXO   ,3,"[0, 0, 0, 1, 1, 2, 0, 0, 0]"
  X O X  ,6,"[0, 0, 1, 0, 2, 0, 1, 0, 0]"
 XX O   O,1,"[0, 1, 1, 0, 2, 0, 0, 0, 2]"
    OX XO,1,"[0, 0, 0, 0, 2, 1, 0, 1, 2]"
OXOX X   ,5,"[2, 1, 2, 1, 0, 1, 0, 0, 0]"
XOXXOOOX ,9,"[1, 2, 1, 1, 2, 2, 2, 1, 0]"
 OO X XXO,6,"[0, 2, 2, 0, 1, 0, 1, 1, 2]"
   XO  X ,7,"[0, 0, 0, 1, 2, 0, 0, 1, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O   X  XO,7,"[2, 0, 0, 0, 1, 0, 0, 1, 2]"
  X O X  ,4,"[0, 0, 1, 0, 2, 0, 1, 0, 0]"
X XOX   O,2,"[1, 0, 1, 2, 1, 0, 0, 0, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
XO    XOX,5,"[1, 2, 0, 0, 0, 0, 1, 2, 1]"
OX   XXO ,3,"[2, 1, 0, 0, 0, 1, 1, 2, 0]"
XX OO  XO,3,"[1, 1, 0, 2, 2, 0, 0, 1, 2]"
    X    ,7,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
  XXO  O ,2,"[0, 0, 1, 1, 2, 0, 0, 2, 0]"
       XO,3,"[0, 0, 0, 0, 0, 0, 0, 1, 2]"
 XOXOX   ,1,"[0, 1, 2, 1, 2, 1, 0, 0, 0]"
   OXXXO ,3,"[0, 0, 0, 2, 1, 1, 1, 2, 0]"
  X O   X,6,"[0, 0, 1, 0, 2, 0, 0, 0, 1]"
   XOX  O,7,"[0, 0, 0, 1, 2, 1, 0, 0, 2]"
 X XOO X ,9,"[0, 1, 0, 1, 2, 2, 0, 1, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OO  X XXO,3,"[2, 2, 0, 0, 1, 0, 1, 1, 2]"
OXX X OO ,4,"[2, 1, 1, 0, 1, 0, 2, 2, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXOXXO  X,8,"[2, 1, 2, 1, 1, 2, 0, 0, 1]"
   O  X  ,5,"[0, 0, 0, 2, 0, 0, 1, 0, 0]"
 X  O XXO,3,"[0, 1, 0, 0, 2, 0, 1, 1, 2]"
   X  XO ,5,"[0, 0, 0, 1, 0, 0, 1, 2, 0]"
 XOX OXO ,1,"[0, 1, 2, 1, 0, 2, 1, 2, 0]"
   O X   ,5,"[0, 0, 0, 2, 0, 1, 0, 0, 0]"
 XOXOOXX ,9,"[0, 1, 2, 1, 2, 2, 1, 1, 0]"
X XXO  OO,2,"[1, 0, 1, 1, 2, 0, 0, 2, 2]"
O  OX XX ,2,"[2, 0, 0, 2, 1, 0, 1, 1, 0]"
 XXOXO O ,9,"[0, 1, 1, 2, 1, 2, 0, 2, 0]"
 X       ,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
X  XO    ,7,"[1, 0, 0, 1, 2, 0, 0, 0, 0]"
 O  X O X,6,"[0, 2, 0, 0, 1, 0, 2, 0, 1]"
O X  X  O,5,"[2, 0, 1, 0, 0, 1, 0, 0, 2]"
     X   ,9,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
    OXX O,1,"[0, 0, 0, 0, 2, 1, 1, 0, 2]"
 OXOO  XX,6,"[0, 2, 1, 2, 2, 0, 0, 1, 1]"
   X  X O,5,"[0, 0, 0, 1, 0, 0, 1, 0, 2]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X X   O  ,9,"[1, 0, 1, 0, 0, 0, 2, 0, 0]"
 XXOOX O ,1,"[0, 1, 1, 2, 2, 1, 0, 2, 0]"
 XO XO  X,1,"[0, 1, 2, 0, 1, 2, 0, 0, 1]"
 X O X  O,7,"[0, 1, 0, 2, 0, 1, 0, 0, 2]"
O X  OXOX,5,"[2, 0, 1, 0, 0, 2, 1, 2, 1]"
XX XXOOO ,9,"[1, 1, 0, 1, 1, 2, 2, 2, 0]"
OO  XXX  ,3,"[2, 2, 0, 0, 1, 1, 1, 0, 0]"
XO OXXXO ,3,"[1, 2, 0, 2, 1, 1, 1, 2, 0]"
 X OXOX O,3,"[0, 1, 0, 2, 1, 2, 1, 0, 2]"
X OX O   ,9,"[1, 0, 2, 1, 0, 2, 0, 0, 0]"
     O X ,5,"[0, 0, 0, 0, 0, 2, 0, 1, 0]"
 XOXX OO ,9,"[0, 1, 2, 1, 1, 0, 2, 2, 0]"
 OXX OX O,1,"[0, 2, 1, 1, 0, 2, 1, 0, 2]"
OX X OOXX,5,"[2, 1, 0, 1, 0, 2, 2, 1, 1]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  XO O X ,5,"[0, 0, 1, 2, 0, 2, 0, 1, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
XX OOX XO,3,"[1, 1, 0, 2, 2, 1, 0, 1, 2]"
    XXO O,8,"[0, 0, 0, 0, 1, 1, 2, 0, 2]"
X    X OO,7,"[1, 0, 0, 0, 0, 1, 0, 2, 2]"
 X O XOOX,1,"[0, 1, 0, 2, 0, 1, 2, 2, 1]"
  OXOXXOX,2,"[0, 0, 2, 1, 2, 1, 1, 2, 1]"
X  OXXXOO,3,"[1, 0, 0, 2, 1, 1, 1, 2, 2]"
 XXOO OXX,6,"[0, 1, 1, 2, 2, 0, 2, 1, 1]"
 X    O  ,1,"[0, 1, 0, 0, 0, 0, 2, 0, 0]"
 O  X O X,3,"[0, 2, 0, 0, 1, 0, 2, 0, 1]"
X X   O  ,9,"[1, 0, 1, 0, 0, 0, 2, 0, 0]"
  XX    O,7,"[0, 0, 1, 1, 0, 0, 0, 0, 2]"
  O   X  ,1,"[0, 0, 2, 0, 0, 0, 1, 0, 0]"
XX OO O X,3,"[1, 1, 0, 2, 2, 0, 2, 0, 1]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X X X O O,8,"[1, 0, 1, 0, 1, 0, 2, 0, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
OO XX O X,6,"[2, 2, 0, 1, 1, 0, 2, 0, 1]"
 X O OX X,5,"[0, 1, 0, 2, 0, 2, 1, 0, 1]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XXOOO  X ,6,"[1, 1, 2, 2, 2, 0, 0, 1, 0]"
 XXOOXOXO,1,"[0, 1, 1, 2, 2, 1, 2, 1, 2]"
    X    ,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O  X X  ,1,"[0, 2, 0, 0, 1, 0, 1, 0, 0]"
 X       ,8,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O    XXO ,3,"[2, 0, 0, 0, 0, 1, 1, 2, 0]"
 X XO   O,1,"[0, 1, 0, 1, 2, 0, 0, 0, 2]"
 XX OO X ,1,"[0, 1, 1, 0, 2, 2, 0, 1, 0]"
XXO  OOX ,5,"[1, 1, 2, 0, 0, 2, 2, 1, 0]"
X   X XOO,6,"[1, 0, 0, 0, 1, 0, 1, 2, 2]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O  OXXX ,9,"[0, 2, 0, 0, 2, 1, 1, 1, 0]"
O X O   X,8,"[2, 0, 1, 0, 2, 0, 0, 0, 1]"
   X OO X,3,"[0, 0, 0, 1, 0, 2, 2, 0, 1]"
    X    ,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
XOOXX O  ,8,"[1, 2, 2, 1, 1, 0, 2, 0, 0]"
 XXO XOXO,1,"[0, 1, 1, 2, 0, 1, 2, 1, 2]"
X  O XO X,2,"[1, 0, 0, 2, 0, 1, 2, 0, 1]"
XO     OX,5,"[1, 2, 0, 0, 0, 0, 0, 2, 1]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
 OX O X X,8,"[0, 2, 1, 0, 2, 0, 1, 0, 1]"
O O XXO X,4,"[2, 0, 2, 0, 1, 1, 2, 0, 1]"
  X     O,1,"[0, 0, 1, 0, 0, 0, 0, 0, 2]"
  O O  XX,7,"[0, 0, 2, 0, 2, 0, 0, 1, 1]"
    XO   ,2,"[0, 0, 0, 0, 1, 2, 0, 0, 0]"
XOO  XOXX,5,"[1, 2, 2, 0, 0, 1, 2, 1, 1]"
  O O XX ,1,"[0, 0, 2, 0, 2, 0, 1, 1, 0]"
XX O OXOX,5,"[1, 1, 0, 2, 0, 2, 1, 2, 1]"
XO OOXOXX,3,"[1, 2, 0, 2, 2, 1, 2, 1, 1]"
     XO  ,9,"[0, 0, 0, 0, 0, 1, 2, 0, 0]"
X XOOXXOO,2,"[1, 0, 1, 2, 2, 1, 1, 2, 2]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XX OO  OX,3,"[1, 1, 0, 2, 2, 0, 0, 2, 1]"
 OO    XX,1,"[0, 2, 2, 0, 0, 0, 0, 1, 1]"
XOO XX XO,4,"[1, 2, 2, 0, 1, 1, 0, 1, 2]"
X X  OOXO,2,"[1, 0, 1, 0, 0, 2, 2, 1, 2]"
O XOX  XO,2,"[2, 0, 1, 2, 1, 0, 0, 1, 2]"
    XO  X,8,"[0, 0, 0, 0, 1, 2, 0, 0, 1]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
O X   X O,5,"[2, 0, 1, 0, 0, 0, 1, 0, 2]"
 O  X   X,3,"[0, 2, 0, 0, 1, 0, 0, 0, 1]"
OXO O X X,8,"[2, 1, 2, 0, 2, 0, 1, 0, 1]"
O  XO   X,3,"[2, 0, 0, 1, 2, 0, 0, 0, 1]"
  O X OX ,4,"[0, 0, 2, 0, 1, 0, 2, 1, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
XOOXOX XO,7,"[1, 2, 2, 1, 2, 1, 0, 1, 2]"
  X XX OO,7,"[0, 0, 1, 0, 1, 1, 0, 2, 2]"
 O  X XO ,1,"[0, 2, 0, 0, 1, 0, 1, 2, 0]"
O XXX OO ,6,"[2, 0, 1, 1, 1, 0, 2, 2, 0]"
 XO      ,5,"[0, 1, 2, 0, 0, 0, 0, 0, 0]"
O X OXX  ,9,"[2, 0, 1, 0, 2, 1, 1, 0, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O   XXXO,1,"[0, 2, 0, 0, 0, 1, 1, 1, 2]"
XOOX O  X,5,"[1, 2, 2, 1, 0, 2, 0, 0, 1]"
     O XX,5,"[0, 0, 0, 0, 0, 2, 0, 1, 1]"
X XOX OO ,9,"[1, 0, 1, 2, 1, 0, 2, 2, 0]"
 XXO   XO,7,"[0, 1, 1, 2, 0, 0, 0, 1, 2]"
O  OOX XX,7,"[2, 0, 0, 2, 2, 1, 0, 1, 1]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   OX  XO,7,"[0, 0, 0, 2, 1, 0, 0, 1, 2]"
XOO XOX  ,4,"[1, 2, 2, 0, 1, 2, 1, 0, 0]"
   X     ,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
 O   OXX ,1,"[0, 2, 0, 0, 0, 2, 1, 1, 0]"
   O    X,7,"[0, 0, 0, 2, 0, 0, 0, 0, 1]"
  X  OX O,4,"[0, 0, 1, 0, 0, 2, 1, 0, 2]"
XX  OOOXX,4,"[1, 1, 0, 0, 2, 2, 2, 1, 1]"
 O OX XX ,9,"[0, 2, 0, 2, 1, 0, 1, 1, 0]"
 XX OO   ,1,"[0, 1, 1, 0, 2, 2, 0, 0, 0]"
 O XX OX ,6,"[0, 2, 0, 1, 1, 0, 2, 1, 0]"
       OX,3,"[0, 0, 0, 0, 0, 0, 0, 2, 1]"
 X  O  X ,4,"[0, 1, 0, 0, 2, 0, 0, 1, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
      O X,3,"[0, 0, 0, 0, 0, 0, 2, 0, 1]"
 X    O  ,1,"[0, 1, 0, 0, 0, 0, 2, 0, 0]"
X XXOO O ,2,"[1, 0, 1, 1, 2, 2, 0, 2, 0]"
   XXO O ,1,"[0, 0, 0, 1, 1, 2, 0, 2, 0]"
O   XOX  ,9,"[2, 0, 0, 0, 1, 2, 1, 0, 0]"
 OX      ,5,"[0, 2, 1, 0, 0, 0, 0, 0, 0]"
  OX  XXO,1,"[0, 0, 2, 1, 0, 0, 1, 1, 2]"
XOXOXX O ,7,"[1, 2, 1, 2, 1, 1, 0, 2, 0]"
 XO     X,5,"[0, 1, 2, 0, 0, 0, 0, 0, 1]"
X  XOXOOX,2,"[1, 0, 0, 1, 2, 1, 2, 2, 1]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
 OOXX  X ,6,"[0, 2, 2, 1, 1, 0, 0, 1, 0]"
 OOX X   ,1,"[0, 2, 2, 1, 0, 1, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
XXO  XO O,8,"[1, 1, 2, 0, 0, 1, 2, 0, 2]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
      O X,3,"[0, 0, 0, 0, 0, 0, 2, 0, 1]"
  X    XO,2,"[0, 0, 1, 0, 0, 0, 0, 1, 2]"
   X X O ,5,"[0, 0, 0, 1, 0, 1, 0, 2, 0]"
 XX OXOO ,1,"[0, 1, 1, 0, 2, 1, 2, 2, 0]"
X     XO ,9,"[1, 0, 0, 0, 0, 0, 1, 2, 0]"
X OOXXOXO,2,"[1, 0, 2, 2, 1, 1, 2, 1, 2]"
   O    X,7,"[0, 0, 0, 2, 0, 0, 0, 0, 1]"
O X      ,6,"[2, 0, 1, 0, 0, 0, 0, 0, 0]"
OXOO X  X,7,"[2, 1, 2, 2, 0, 1, 0, 0, 1]"
OXX    O ,9,"[2, 1, 1, 0, 0, 0, 0, 2, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
   X    O,7,"[0, 0, 0, 1, 0, 0, 0, 0, 2]"
O O XXX O,4,"[2, 0, 2, 0, 1, 1, 1, 0, 2]"
X O  XO X,5,"[1, 0, 2, 0, 0, 1, 2, 0, 1]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
OXO  O XX,4,"[2, 1, 2, 0, 0, 2, 0, 1, 1]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 OO XXOX ,4,"[0, 2, 2, 0, 1, 1, 2, 1, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
  X  X O ,9,"[0, 0, 1, 0, 0, 1, 0, 2, 0]"
XX XOO O ,9,"[1, 1, 0, 1, 2, 2, 0, 2, 0]"
 XXO  OOX,1,"[0, 1, 1, 2, 0, 0, 2, 2, 1]"
   OXO  X,7,"[0, 0, 0, 2, 1, 2, 0, 0, 1]"
XO OXOXXO,3,"[1, 2, 0, 2, 1, 2, 1, 1, 2]"
    X    ,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
X OXX  OO,6,"[1, 0, 2, 1, 1, 0, 0, 2, 2]"
O X      ,9,"[2, 0, 1, 0, 0, 0, 0, 0, 0]"
OXXOOX   ,9,"[2, 1, 1, 2, 2, 1, 0, 0, 0]"
X XXO  O ,2,"[1, 0, 1, 1, 2, 0, 0, 2, 0]"
       X ,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
 O     X ,4,"[0, 2, 0, 0, 0, 0, 0, 1, 0]"
 O X O  X,7,"[0, 2, 0, 1, 0, 2, 0, 0, 1]"
     X   ,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
OOXOXX X ,7,"[2, 2, 1, 2, 1, 1, 0, 1, 0]"
X     OX ,2,"[1, 0, 0, 0, 0, 0, 2, 1, 0]"
OX    XO ,9,"[2, 1, 0, 0, 0, 0, 1, 2, 0]"
   O    X,7,"[0, 0, 0, 2, 0, 0, 0, 0, 1]"
XXOXO  O ,7,"[1, 1, 2, 1, 2, 0, 0, 2, 0]"
 O    X  ,1,"[0, 2, 0, 0, 0, 0, 1, 0, 0]"
X O O  XX,7,"[1, 0, 2, 0, 2, 0, 0, 1, 1]"
XXOO X XO,5,"[1, 1, 2, 2, 0, 1, 0, 1, 2]"
    X   O,1,"[0, 0, 0, 0, 1, 0, 0, 0, 2]"
 X X   O ,3,"[0, 1, 0, 1, 0, 0, 0, 2, 0]"
X  X O XO,3,"[1, 0, 0, 1, 0, 2, 0, 1, 2]"
OXO XXOOX,4,"[2, 1, 2, 0, 1, 1, 2, 2, 1]"
X X OXOXO,2,"[1, 0, 1, 0, 2, 1, 2, 1, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
X  OO X X,8,"[1, 0, 0, 2, 2, 0, 1, 0, 1]"
 X OO  X ,6,"[0, 1, 0, 2, 2, 0, 0, 1, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X O X  O ,4,"[1, 0, 2, 0, 1, 0, 0, 2, 0]"
X   O X O,3,"[1, 0, 0, 0, 2, 0, 1, 0, 2]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
XO XOXO X,8,"[1, 2, 0, 1, 2, 1, 2, 0, 1]"
O XX OXO ,5,"[2, 0, 1, 1, 0, 2, 1, 2, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
 OO XX OX,1,"[0, 2, 2, 0, 1, 1, 0, 2, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X OO  X  ,9,"[1, 0, 2, 2, 0, 0, 1, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOOO   XX,7,"[1, 2, 2, 2, 0, 0, 0, 1, 1]"
  O     X,8,"[0, 0, 2, 0, 0, 0, 0, 0, 1]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O    X   ,3,"[2, 0, 0, 0, 0, 1, 0, 0, 0]"
XX XOOO  ,3,"[1, 1, 0, 1, 2, 2, 2, 0, 0]"
 X       ,5,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
 X O OXX ,5,"[0, 1, 0, 2, 0, 2, 1, 1, 0]"
   X    O,7,"[0, 0, 0, 1, 0, 0, 0, 0, 2]"
O  X     ,9,"[2, 0, 0, 1, 0, 0, 0, 0, 0]"
OO X XXOX,3,"[2, 2, 0, 1, 0, 1, 1, 2, 1]"
  O     X,1,"[0, 0, 2, 0, 0, 0, 0, 0, 1]"
OXOX  X O,8,"[2, 1, 2, 1, 0, 0, 1, 0, 2]"
XXOO O X ,5,"[1, 1, 2, 2, 0, 2, 0, 1, 0]"
    X    ,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
 O OX X  ,9,"[0, 2, 0, 2, 1, 0, 1, 0, 0]"
O   XX  O,2,"[2, 0, 0, 0, 1, 1, 0, 0, 2]"
  XX O   ,7,"[0, 0, 1, 1, 0, 2, 0, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XO    O X,6,"[1, 2, 0, 0, 0, 0, 2, 0, 1]"
OOXXX  O ,7,"[2, 2, 1, 1, 1, 0, 0, 2, 0]"
  OOX   X,8,"[0, 0, 2, 2, 1, 0, 0, 0, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
OX  XOX  ,4,"[2, 1, 0, 0, 1, 2, 1, 0, 0]"
   OX    ,8,"[0, 0, 0, 2, 1, 0, 0, 0, 0]"
 X O   X ,5,"[0, 1, 0, 2, 0, 0, 0, 1, 0]"
X XOO OXX,6,"[1, 0, 1, 2, 2, 0, 2, 1, 1]"
  XOXOOX ,2,"[0, 0, 1, 2, 1, 2, 2, 1, 0]"
       X ,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
X XOO OX ,6,"[1, 0, 1, 2, 2, 0, 2, 1, 0]"
  XOOX X ,9,"[0, 0, 1, 2, 2, 1, 0, 1, 0]"
   X  O  ,8,"[0, 0, 0, 1, 0, 0, 2, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
   X   XO,3,"[0, 0, 0, 1, 0, 0, 0, 1, 2]"
  XO XOX ,1,"[0, 0, 1, 2, 0, 1, 2, 1, 0]"
XOOOXX   ,9,"[1, 2, 2, 2, 1, 1, 0, 0, 0]"
X OX   OX,7,"[1, 0, 2, 1, 0, 0, 0, 2, 1]"
OOX    X ,4,"[2, 2, 1, 0, 0, 0, 0, 1, 0]"
 O   X  X,3,"[0, 2, 0, 0, 0, 1, 0, 0, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXXO  X  ,5,"[2, 1, 1, 2, 0, 0, 1, 0, 0]"
   X  O  ,5,"[0, 0, 0, 1, 0, 0, 2, 0, 0]"
 OX      ,5,"[0, 2, 1, 0, 0, 0, 0, 0, 0]"
X   XX OO,7,"[1, 0, 0, 0, 1, 1, 0, 2, 2]"
X   O  X ,7,"[1, 0, 0, 0, 2, 0, 0, 1, 0]"
 X       ,5,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
XXOX   O ,7,"[1, 1, 2, 1, 0, 0, 0, 2, 0]"
OO XXOXOX,3,"[2, 2, 0, 1, 1, 2, 1, 2, 1]"
OXOX XOX ,5,"[2, 1, 2, 1, 0, 1, 2, 1, 0]"
   O    X,7,"[0, 0, 0, 2, 0, 0, 0, 0, 1]"
XOOOXXOX ,9,"[1, 2, 2, 2, 1, 1, 2, 1, 0]"
O  X     ,9,"[2, 0, 0, 1, 0, 0, 0, 0, 0]"
   O  X  ,5,"[0, 0, 0, 2, 0, 0, 1, 0, 0]"
  O  OXX ,9,"[0, 0, 2, 0, 0, 2, 1, 1, 0]"
  O X   X,1,"[0, 0, 2, 0, 1, 0, 0, 0, 1]"
OX X OX  ,9,"[2, 1, 0, 1, 0, 2, 1, 0, 0]"
 X XOOXOX,1,"[0, 1, 0, 1, 2, 2, 1, 2, 1]"
  XO     ,1,"[0, 0, 1, 2, 0, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
 X   O X ,5,"[0, 1, 0, 0, 0, 2, 0, 1, 0]"
 X    O  ,1,"[0, 1, 0, 0, 0, 0, 2, 0, 0]"
   X   XO,3,"[0, 0, 0, 1, 0, 0, 0, 1, 2]"
XXO   XO ,4,"[1, 1, 2, 0, 0, 0, 1, 2, 0]"
O XX OX O,5,"[2, 0, 1, 1, 0, 2, 1, 0, 2]"
 XOOX O X,8,"[0, 1, 2, 2, 1, 0, 2, 0, 1]"
 OXXXOOOX,1,"[0, 2, 1, 1, 1, 2, 2, 2, 1]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
     XOXO,5,"[0, 0, 0, 0, 0, 1, 2, 1, 2]"
  OXXOO X,1,"[0, 0, 2, 1, 1, 2, 2, 0, 1]"
X  O     ,5,"[1, 0, 0, 2, 0, 0, 0, 0, 0]"
XOO    XX,4,"[1, 2, 2, 0, 0, 0, 0, 1, 1]"
 O XOX  X,3,"[0, 2, 0, 1, 2, 1, 0, 0, 1]"
      OX ,4,"[0, 0, 0, 0, 0, 0, 2, 1, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
 OX X OX ,1,"[0, 2, 1, 0, 1, 0, 2, 1, 0]"
OX  XXXOO,3,"[2, 1, 0, 0, 1, 1, 1, 2, 2]"
XOX X O O,8,"[1, 2, 1, 0, 1, 0, 2, 0, 2]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OX X  O  ,5,"[2, 1, 0, 1, 0, 0, 2, 0, 0]"
XXO X O O,8,"[1, 1, 2, 0, 1, 0, 2, 0, 2]"
O     XX ,5,"[2, 0, 0, 0, 0, 0, 1, 1, 0]"
 OXO  XOX,6,"[0, 2, 1, 2, 0, 0, 1, 2, 1]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O XO  X ,7,"[0, 2, 0, 1, 2, 0, 0, 1, 0]"
XOXOXO XO,7,"[1, 2, 1, 2, 1, 2, 0, 1, 2]"
O XX     ,6,"[2, 0, 1, 1, 0, 0, 0, 0, 0]"
X O  OX X,5,"[1, 0, 2, 0, 0, 2, 1, 0, 1]"
XX   O O ,4,"[1, 1, 0, 0, 0, 2, 0, 2, 0]"
   O XX  ,3,"[0, 0, 0, 2, 0, 1, 1, 0, 0]"
O   X X  ,3,"[2, 0, 0, 0, 1, 0, 1, 0, 0]"
 XXO  O  ,1,"[0, 1, 1, 2, 0, 0, 2, 0, 0]"
  OO  XX ,5,"[0, 0, 2, 2, 0, 0, 1, 1, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOXXOO XO,7,"[1, 2, 1, 1, 2, 2, 0, 1, 2]"
 X O     ,5,"[0, 1, 0, 2, 0, 0, 0, 0, 0]"
